Dataset name         Total data      Posit Size      Posit Es        AbsErr(Posit vs. double)       AbsErr(single vs. double)      RelErr(Posit vs. double)       RelErr(single vs. double)      RelErr compare       Tolcheck(Posit)      Tolcheck(single)   
creditcard.csv       599970          16              0               162.842161056692               5.23179225787886e-08           0.00741424005462687            2.06303826985062e-08           2.783e-06            0.898%               76.94%              
creditcard.csv       599970          16              1               2.32961536365139               5.23179225787886e-08           0.00019501579368064            2.06303826985062e-08           1.058e-04            1.157%               76.94%              
creditcard.csv       599970          16              2               0.324531672271959              5.23179225787886e-08           0.000114818819569579           2.06303826985062e-08           1.797e-04            1.411%               76.94%              
creditcard.csv       599970          16              3               0.165416048321923              5.23179225787886e-08           0.000181397283347568           2.06303826985062e-08           1.137e-04            1.464%               76.94%              
creditcard.csv       599970          16              4               0.165677000418984              5.23179225787886e-08           0.000349394720797152           2.06303826985062e-08           5.905e-05            1.441%               76.94%              
creditcard.csv       599970          32              0               2.77435745641396e-07           5.23179225787886e-08           3.89277481139952e-09           2.06303826985062e-08           5.300e+00            98.3%                76.94%              
creditcard.csv       599970          32              1               1.74253482041884e-08           5.23179225787886e-08           1.1773505869468e-09            2.06303826985062e-08           1.752e+01            98.66%               76.94%              
creditcard.csv       599970          32              2               8.11404690985849e-09           5.23179225787886e-08           1.46389530694943e-09           2.06303826985062e-08           1.409e+01            98.66%               76.94%              
creditcard.csv       599970          32              3               9.01776972896746e-09           5.23179225787886e-08           2.59536240600224e-09           2.06303826985062e-08           7.949e+00            98.24%               76.94%              
creditcard.csv       599970          32              4               1.30317372420151e-08           5.23179225787886e-08           5.13960029607833e-09           2.06303826985062e-08           4.014e+00            96.4%                76.94%                        
Stock.csv            729568          16              0               204308629.911468               4.40237282436555               0.175894137929491              3.54198136596674e-09           2.014e-08            5.837%               16.79%              
Stock.csv            729568          16              1               192658067.294633               4.40237282436555               0.0410298644107166             3.54198136596674e-09           8.633e-08            6.144%               16.79%              
Stock.csv            729568          16              2               4170888.11333532               4.40237282436555               0.00122325999268679            3.54198136596674e-09           2.896e-06            6.589%               16.79%              
Stock.csv            729568          16              3               512146.857505181               4.40237282436555               0.000436201907626087           3.54198136596674e-09           8.120e-06            6.689%               16.79%              
Stock.csv            729568          16              4               256007.550821764               4.40237282436555               0.00039026624351787            3.54198136596674e-09           9.076e-06            6.688%               16.79%              
Stock.csv            729568          32              0               167421680.364107               4.40237282436555               0.0192032773277003             3.54198136596674e-09           1.844e-07            12.05%               16.79%              
Stock.csv            729568          32              1               12557.6403574418               4.40237282436555               1.30841740980045e-06           3.54198136596674e-09           2.707e-03            14%                  16.79%              
Stock.csv            729568          32              2               62.0802422092928               4.40237282436555               1.07770146299153e-08           3.54198136596674e-09           3.287e-01            15.56%               16.79%              
Stock.csv            729568          32              3               7.81562330240392               4.40237282436555               1.92060502195353e-09           3.54198136596674e-09           1.844e+00            16.89%               16.79%              
Stock.csv            729568          32              4               3.91926635265961               4.40237282436555               1.27843895546782e-09           3.54198136596674e-09           2.771e+00            17.57%               16.79%                         
climate_change.csv   50000           16              0               0.434939374809823              2.03570822128747e-06           0.00144933721437706            2.13005449697598e-08           1.470e-05            0.012%               16.6%               
climate_change.csv   50000           16              1               0.0565867477848132             2.03570822128747e-06           0.00025868599972819            2.13005449697598e-08           8.234e-05            0.008%               16.6%               
climate_change.csv   50000           16              2               0.0294347371520608             2.03570822128747e-06           0.000175317938252775           2.13005449697598e-08           1.215e-04            0.004%               16.6%               
climate_change.csv   50000           16              3               0.0295955314435755             2.03570822128747e-06           0.000207389671962197           2.13005449697598e-08           1.027e-04            0.002%               16.6%               
climate_change.csv   50000           16              4               0.0337386313434301             2.03570822128747e-06           0.000349465835305428           2.13005449697598e-08           6.095e-05            0%                   16.6%               
climate_change.csv   50000           32              0               6.68810154118855e-06           2.03570822128747e-06           2.22252408792183e-08           2.13005449697598e-08           9.584e-01            31.69%               16.6%               
climate_change.csv   50000           32              1               8.63483571745874e-07           2.03570822128747e-06           3.95307020141426e-09           2.13005449697598e-08           5.388e+00            39.03%               16.6%               
climate_change.csv   50000           32              2               4.50321179397188e-07           2.03570822128747e-06           2.6692526629046e-09            2.13005449697598e-08           7.980e+00            39.46%               16.6%               
climate_change.csv   50000           32              3               4.52713201213195e-07           2.03570822128747e-06           3.15011082274056e-09           2.13005449697598e-08           6.762e+00            34.01%               16.6%               
climate_change.csv   50000           32              4               5.16679591625422e-07           2.03570822128747e-06           5.32871214398824e-09           2.13005449697598e-08           3.997e+00            27.51%               16.6%     
winequality.csv      19188           16              0               0.001945741531197              4.506483824993e-08             7.63854251650689e-05           1.53103337875035e-08           2.004e-04            32.44%               67.77%              
winequality.csv      19188           16              1               0.000158015470080337           4.506483824993e-08             4.57718567179268e-05           1.53103337875035e-08           3.345e-04            32.59%               67.77%              
winequality.csv      19188           16              2               0.000183893488092029           4.506483824993e-08             6.42373267839532e-05           1.53103337875035e-08           2.383e-04            32.59%               67.77%              
winequality.csv      19188           16              3               0.000371831087272098           4.506483824993e-08             0.000123871971616735           1.53103337875035e-08           1.236e-04            32.59%               67.77%              
winequality.csv      19188           16              4               0.000733307808150867           4.506483824993e-08             0.000248158930625551           1.53103337875035e-08           6.170e-05            32.59%               67.77%              
winequality.csv      19188           32              0               4.06587987379681e-09           4.506483824993e-08             1.01529299646738e-09           1.53103337875035e-08           1.508e+01            90.77%               67.77%              
winequality.csv      19188           32              1               2.41003857711387e-09           4.506483824993e-08             6.70546980832827e-10           1.53103337875035e-08           2.283e+01            95.5%                67.77%              
winequality.csv      19188           32              2               2.7942563630106e-09            4.506483824993e-08             9.47411200555831e-10           1.53103337875035e-08           1.616e+01            95.5%                67.77%              
winequality.csv      19188           32              3               5.67078995676246e-09           4.506483824993e-08             1.89366687822361e-09           1.53103337875035e-08           8.085e+00            88.76%               67.77%              
winequality.csv      19188           32              4               1.12309060703215e-08           4.506483824993e-08             3.76529419326975e-09           1.53103337875035e-08           4.066e+00            82.81%               67.77%  
Marketing.csv        684             16              0               0.198620044267021              1.41564260180402e-06           0.00109559668335918            2.11066370269214e-08           1.926e-05            2.485%               4.386%              
Marketing.csv        684             16              1               0.0292136813117682             1.41564260180402e-06           0.000221169795112987           2.11066370269214e-08           9.543e-05            2.778%               4.386%              
Marketing.csv        684             16              2               0.0165342182924598             1.41564260180402e-06           0.000163243829199423           2.11066370269214e-08           1.293e-04            2.778%               4.386%              
Marketing.csv        684             16              3               0.0167848645680821             1.41564260180402e-06           0.000190596729925581           2.11066370269214e-08           1.107e-04            2.778%               4.386%              
Marketing.csv        684             16              4               0.0248119795479512             1.41564260180402e-06           0.00035866616125483            2.11066370269214e-08           5.885e-05            2.778%               4.386%              
Marketing.csv        684             32              0               3.05250390719047e-06           1.41564260180402e-06           1.65096722229629e-08           2.11066370269214e-08           1.278e+00            21.05%               4.386%              
Marketing.csv        684             32              1               4.69882155083581e-07           1.41564260180402e-06           3.56438352439219e-09           2.11066370269214e-08           5.922e+00            32.02%               4.386%              
Marketing.csv        684             32              2               2.63047601929415e-07           1.41564260180402e-06           2.64885193178248e-09           2.11066370269214e-08           7.968e+00            32.02%               4.386%              
Marketing.csv        684             32              3               2.6596870950356e-07            1.41564260180402e-06           2.95083694287703e-09           2.11066370269214e-08           7.153e+00            23.68%               4.386%              
Marketing.csv        684             32              4               3.78016059431887e-07           1.41564260180402e-06           5.64642160920139e-09           2.11066370269214e-08           3.738e+00            11.99%               4.386%              
