Dataset name         Total data      Posit Size      Posit Es        AbsErr(Posit vs. double)       AbsErr(single vs. double)      RelErr(Posit vs. double)       RelErr(single vs. double)      Tolcheck(Posit)      Tolcheck(single)     
creditcard.csv       8544210         16              0               2628.25308570366               5.9104605866733e-08            0.025350463422015              2.0623091015924e-08            0.818%               8.77%               
creditcard.csv       8544210         16              1               35.6112802098193               5.9104605866733e-08            0.000406714946841983           2.0623091015924e-08            0.942%               8.77%               
creditcard.csv       8544210         16              2               4.45663769684964               5.9104605866733e-08            0.00013706364826366            2.0623091015924e-08            0.983%               8.77%               
creditcard.csv       8544210         16              3               2.2338079113865                5.9104605866733e-08            0.00019127328284244            2.0623091015924e-08            0.998%               8.77%               
creditcard.csv       8544210         16              4               2.23406809338291               5.9104605866733e-08            0.000359079601022329           2.0623091015924e-08            0.998%               8.77%               
creditcard.csv       8544210         32              0               0.1110963618118                5.9104605866733e-08            9.07922383493392e-07           2.0623091015924e-08            40.8%                8.77%               
creditcard.csv       8544210         32              1               2.421122271511e-08             5.9104605866733e-08            1.16515361418846e-09           2.0623091015924e-08            45.1%                8.77%               
creditcard.csv       8544210         32              2               1.00261819740443e-08           5.9104605866733e-08            1.45907558720162e-09           2.0623091015924e-08            36.7%                8.77%               
creditcard.csv       8544210         32              3               1.06006852797396e-08           5.9104605866733e-08            2.59394158637185e-09           2.0623091015924e-08            25.4%                8.77%               
creditcard.csv       8544210         32              4               1.46514138381437e-08           5.9104605866733e-08            5.14790342196719e-09           2.0623091015924e-08            17.4%                8.77%               
Stock.csv            729568          16              0               204308629.911468               4.40237282436555               0.175894137929491              3.54198136596674e-09           0.0676%              10.7%               
Stock.csv            729568          16              1               192658067.294633               4.40237282436555               0.0410298644107166             3.54198136596674e-09           0.374%               10.7%               
Stock.csv            729568          16              2               4170888.11333532               4.40237282436555               0.00122325999268679            3.54198136596674e-09           0.819%               10.7%               
Stock.csv            729568          16              3               512146.857505181               4.40237282436555               0.000436201907626087           3.54198136596674e-09           0.919%               10.7%               
Stock.csv            729568          16              4               256007.550821764               4.40237282436555               0.00039026624351787            3.54198136596674e-09           0.919%               10.7%               
Stock.csv            729568          32              0               167421680.364107               4.40237282436555               0.0192032773277003             3.54198136596674e-09           6.12%                10.7%               
Stock.csv            729568          32              1               12557.6403574418               4.40237282436555               1.30841740980045e-06           3.54198136596674e-09           7.77%                10.7%               
Stock.csv            729568          32              2               62.0802422092928               4.40237282436555               1.07770146299153e-08           3.54198136596674e-09           9.32%                10.7%               
Stock.csv            729568          32              3               7.81562330240392               4.40237282436555               1.92060502195353e-09           3.54198136596674e-09           10.7%                10.7%               
Stock.csv            729568          32              4               3.91926635265961               4.40237282436555               1.27843895546782e-09           3.54198136596674e-09           11.5%                10.7%               
DailyClimate.csv     5848            16              0               2.48182168172166               1.69727851780798e-06           0.00265722571598847            1.04454669073294e-08           30.8%                53.9%               
DailyClimate.csv     5848            16              1               0.130654209294124              1.69727851780798e-06           0.000189354001132322           1.04454669073294e-08           38.2%                53.9%               
DailyClimate.csv     5848            16              2               0.0625038701328027             1.69727851780798e-06           0.000112516403856291           1.04454669073294e-08           40.1%                53.9%               
DailyClimate.csv     5848            16              3               0.062653149244821              1.69727851780798e-06           0.000136909388767673           1.04454669073294e-08           40.1%                53.9%               
DailyClimate.csv     5848            16              4               0.064681018366475              1.69727851780798e-06           0.000214320567858582           1.04454669073294e-08           39.7%                53.9%               
DailyClimate.csv     5848            32              0               1.36243023374456e-05           1.69727851780798e-06           1.43889788099874e-08           1.04454669073294e-08           54.6%                53.9%               
DailyClimate.csv     5848            32              1               8.06153538076728e-07           1.69727851780798e-06           1.61956065610526e-09           1.04454669073294e-08           54%                  53.9%               
DailyClimate.csv     5848            32              2               3.92498089321858e-07           1.69727851780798e-06           1.16601133684167e-09           1.04454669073294e-08           54%                  53.9%               
DailyClimate.csv     5848            32              3               3.87630890371444e-07           1.69727851780798e-06           1.49747425068388e-09           1.04454669073294e-08           53.9%                53.9%               
DailyClimate.csv     5848            32              4               4.13238847642718e-07           1.69727851780798e-06           2.61394148263437e-09           1.04454669073294e-08           53.9%                53.9%            
climate_change.csv   50000           16              0               0.434939374809823              2.03570822128747e-06           0.00144933721437706            2.13005449697598e-08           0%                   0.59%               
climate_change.csv   50000           16              1               0.0565867477848132             2.03570822128747e-06           0.00025868599972819            2.13005449697598e-08           0%                   0.59%               
climate_change.csv   50000           16              2               0.0294347371520608             2.03570822128747e-06           0.000175317938252775           2.13005449697598e-08           0%                   0.59%               
climate_change.csv   50000           16              3               0.0295955314435755             2.03570822128747e-06           0.000207389671962197           2.13005449697598e-08           0%                   0.59%               
climate_change.csv   50000           16              4               0.0337386313434301             2.03570822128747e-06           0.000349465835305428           2.13005449697598e-08           0%                   0.59%               
climate_change.csv   50000           32              0               6.68810154118855e-06           2.03570822128747e-06           2.22252408792183e-08           2.13005449697598e-08           8.3%                 0.59%               
climate_change.csv   50000           32              1               8.63483571745874e-07           2.03570822128747e-06           3.95307020141426e-09           2.13005449697598e-08           7.15%                0.59%               
climate_change.csv   50000           32              2               4.50321179397188e-07           2.03570822128747e-06           2.6692526629046e-09            2.13005449697598e-08           5.15%                0.59%               
climate_change.csv   50000           32              3               4.52713201213195e-07           2.03570822128747e-06           3.15011082274056e-09           2.13005449697598e-08           3.08%                0.59%               
climate_change.csv   50000           32              4               5.16679591625422e-07           2.03570822128747e-06           5.32871214398824e-09           2.13005449697598e-08           1.83%                0.59%       
